,2022-11-23
475,"@EUCouncil Orban wants Russian gas, Russian oil, he is blocking renewables in Hungary. He wants to support Putins war. Stop him! https://t.co/nq7PNkHnsE"
476,"FED tightening primarily effects long duration industries with high multiples like tech and leisure / housing, much less so in traditional boring industries like agriculture, oil &amp; gas, energy, and materials."
477,"@miikrowaveweapo tw big oil and gas corporations //

*video of a car on fire*"
478,Funny how this happens. Oil has way too much sway over elections. How many Democrats lost because of artificially raised gas prices? https://t.co/yretCFXV6b
479,"@PressSec All of these are just the ending of pandemic lockdowns an passing laws after reversing Trump's executive orders, an Gas price were higher because joe slowed domestic oil production with his climate change ex order. An by his mouth he is unable to affect gas prices"
480,"@NancyFaeser One last word:
Why don't your government stop and boycott oil and natural gas imports from those Arab and Muslims countries? President Putin will welcome you in Russia, try to meet him with the same arm band..."
481,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/PT94F6vE5r"
482,@Lambeau_28 @FINALLEVEL The gas companies love this.  They are fully aware about the US's addiction to oil.  They will line their pockets by simply pushing prices up to feed the addiction.  Just like the tobacco companies have done.
483,"It's a good thing that $PLTR is helping oil and gas companies because we hit an oil top, those companies are going to need to save money. https://t.co/PFNiCIMLex"
484,"@ruth_wishart @BirseJan Maybe when the oil, gas, whisky, salmon, waves, wind, tides and drinking water run out ...."
485,"@wilhelm_2025 @Reuters They have coal, oil and gas reserves, they chose to not to dig or drill for it instead choosing to pander to the green energy nuts instead."
486,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/mo0vGbVo4I"
487,"@ArchDejan @Gerashchenko_en John McCain said it best ""Russia is a giant gas station masquerading as a Country."" What does Russia make that the world wants? Besides oil and gas. And vodka, well you can get it in Texas Homegrown."
488,"@POTUS Best days for families americans, stop speculation prices drug prescription and gas and oil"
489,"@CarbonCredits My oil &amp; gas producer stocks have done way better then that, my coal stocks up 600%. Go carbon go"
490,@garethlkr @AlexEpstein @JunkScience @ceidotorg The guy is a hack oil and gas shill nothing else....
491,"@petrelnl @CBCNL Correct. First of all it won’t happen till next July, if it happens at all. A lot can change between then and now. Secondly, who knows what the price of gas, diesel, groceries, electricity, heating oil, etc will be then."
492,"@BjCruickshank Signed and donated Bill. England forces its rule on Scotland and steals all that belongs to us. Today, England declared war on Scotland. We need to stop pandering to their imperialism. No more oil, gas &amp; whisky revenue going south. We must stop that first!"
493,@Sands731 Gas and oil are partly the income for the Kurds in Syria
494,"@PeterDClack ""The world is deluded if anyone thinks renewables are cheaper than coal, gas or oil.""
'Externalities' only apply to fossil fuels."
495,@bayraktar_1love Of Russia is a terrorist state then no EU country should finance their terror by buying the oil and gas from them .
496,"@POTUS Under you America has turned to shit 4 dollar gas , 20% increase in grocery prices, home heating oil up 70% ,2.5 million illegals entering our country yea America is doing fine"
497,@HouseGOP Look at all those oil prices that were higher than today's prices. Makes you wonder why gas prices are so high doesn't it? https://t.co/L4B804dsYy
498,"Sign the petition: We cannot afford any new coal, oil, or gas projects. Urge Congress to reject fossil fuel handouts. https://t.co/t73xX4p3vz"
499,¡Oil &amp; Gas Reporter está disponible! https://t.co/XUwLvyaaaA Gracias a @WorldOil #oilandgas #upstream
